FIPS,State,County,FIR,FIP,P_Below,P_Between,Percent Above Threshold,Meal,Budget,Year,Total,White,Black,Native,Asian,Pacific,Other,Biracial,Region,Budget Per FIP
48011,TX,Armstrong,0.131,250,0.306,0.063,0.631,3.06,131000,2017,1848.0,0.8906926406926406,0.007034632034632035,0.0091991341991342,0.005411255411255411,0.0,0.021103896103896104,0.06655844155844155,Panhandle,524.0
48011,TX,Armstrong,0.121,230,0.361,0.125,0.514,3.08,120000,2018,1848.0,0.8906926406926406,0.007034632034632035,0.0091991341991342,0.005411255411255411,0.0,0.021103896103896104,0.06655844155844155,Panhandle,521.7391304347826
48011,TX,Armstrong,0.122,240,0.402,0.097,0.502,3.08,126000,2019,1848.0,0.8906926406926406,0.007034632034632035,0.0091991341991342,0.005411255411255411,0.0,0.021103896103896104,0.06655844155844155,Panhandle,525.0
48013,TX,Atascosa,0.157,6900,0.782,0.096,0.122,2.06,2446650,2010,48981.0,0.5757946959024928,0.008676833874359446,0.010024295134848206,0.004205712419101284,0.000367489434678753,0.1541414017680325,0.246789571466487,Southwest,354.5869565217391
48013,TX,Atascosa,0.146,6510,0.752,0.017,0.231,2.09,2218140,2011,48981.0,0.5757946959024928,0.008676833874359446,0.010024295134848206,0.004205712419101284,0.000367489434678753,0.1541414017680325,0.246789571466487,Southwest,340.7281105990783
48013,TX,Atascosa,0.134,6030,0.836,0.164,0.0,2.43151683072993,2568000,2012,48981.0,0.5757946959024928,0.008676833874359446,0.010024295134848206,0.004205712419101284,0.000367489434678753,0.1541414017680325,0.246789571466487,Southwest,425.87064676616916
48013,TX,Atascosa,0.114,5220,0.826,0.026,0.147,2.51,2317000,2013,48981.0,0.5757946959024928,0.008676833874359446,0.010024295134848206,0.004205712419101284,0.000367489434678753,0.1541414017680325,0.246789571466487,Southwest,443.86973180076626
48013,TX,Atascosa,0.098,4530,0.84,0.015,0.145,2.57,2053000,2014,48981.0,0.5757946959024928,0.008676833874359446,0.010024295134848206,0.004205712419101284,0.000367489434678753,0.1541414017680325,0.246789571466487,Southwest,453.2008830022075
48013,TX,Atascosa,0.081,3830,0.889,0.023,0.088,2.59,1777000,2015,48981.0,0.5757946959024928,0.008676833874359446,0.010024295134848206,0.004205712419101284,0.000367489434678753,0.1541414017680325,0.246789571466487,Southwest,463.9686684073107
48013,TX,Atascosa,0.085,4060,0.846,0.055,0.099,2.74,1903000,2016,48981.0,0.5757946959024928,0.008676833874359446,0.010024295134848206,0.004205712419101284,0.000367489434678753,0.1541414017680325,0.246789571466487,Southwest,468.7192118226601
48013,TX,Atascosa,0.088,4210,0.757,0.049,0.194,2.78,1996000,2017,48981.0,0.5757946959024928,0.008676833874359446,0.010024295134848206,0.004205712419101284,0.000367489434678753,0.1541414017680325,0.246789571466487,Southwest,474.10926365795723
48013,TX,Atascosa,0.126,6170,0.688,0.107,0.205,2.63,2744000,2018,48981.0,0.5757946959024928,0.008676833874359446,0.010024295134848206,0.004205712419101284,0.000367489434678753,0.1541414017680325,0.246789571466487,Southwest,444.7325769854133
48013,TX,Atascosa,0.124,6140,0.703,0.099,0.198,2.63,2763000,2019,48981.0,0.5757946959024928,0.008676833874359446,0.010024295134848206,0.004205712419101284,0.000367489434678753,0.1541414017680325,0.246789571466487,Southwest,450.0
48015,TX,Austin,0.162,4510,0.504,0.108,0.388,2.36,1832080,2010,30167.0,0.6684125037292405,0.08088308416481586,0.009182218981005734,0.006662909802101634,0.00026519043988464217,0.10286074187025558,0.13173335101269598,Southeast,406.22616407982264
48015,TX,Austin,0.152,4290,0.526,0.142,0.333,2.59,1811410,2011,30167.0,0.6684125037292405,0.08088308416481586,0.009182218981005734,0.006662909802101634,0.00026519043988464217,0.10286074187025558,0.13173335101269598,Southeast,422.24009324009324
48015,TX,Austin,0.15,4260,0.542,0.101,0.357,2.718865256093985,2028000,2012,30167.0,0.6684125037292405,0.08088308416481586,0.009182218981005734,0.006662909802101634,0.00026519043988464217,0.10286074187025558,0.13173335101269598,Southeast,476.056338028169
48015,TX,Austin,0.16,4560,0.538,0.085,0.377,2.82,2277000,2013,30167.0,0.6684125037292405,0.08088308416481586,0.009182218981005734,0.006662909802101634,0.00026519043988464217,0.10286074187025558,0.13173335101269598,Southeast,499.3421052631579
48015,TX,Austin,0.153,4400,0.532,0.057,0.411,2.96,2298000,2014,30167.0,0.6684125037292405,0.08088308416481586,0.009182218981005734,0.006662909802101634,0.00026519043988464217,0.10286074187025558,0.13173335101269598,Southeast,522.2727272727273
48015,TX,Austin,0.153,4410,0.564,0.084,0.353,2.96,2338000,2015,30167.0,0.6684125037292405,0.08088308416481586,0.009182218981005734,0.006662909802101634,0.00026519043988464217,0.10286074187025558,0.13173335101269598,Southeast,530.1587301587301
48015,TX,Austin,0.158,4610,0.56,0.039,0.401,3.03,2386000,2016,30167.0,0.6684125037292405,0.08088308416481586,0.009182218981005734,0.006662909802101634,0.00026519043988464217,0.10286074187025558,0.13173335101269598,Southeast,517.5704989154013
48015,TX,Austin,0.147,4300,0.521,0.036,0.443,3.12,2286000,2017,30167.0,0.6684125037292405,0.08088308416481586,0.009182218981005734,0.006662909802101634,0.00026519043988464217,0.10286074187025558,0.13173335101269598,Southeast,531.6279069767442
48015,TX,Austin,0.131,3890,0.525,0.056,0.419,3.0,1978000,2018,30167.0,0.6684125037292405,0.08088308416481586,0.009182218981005734,0.006662909802101634,0.00026519043988464217,0.10286074187025558,0.13173335101269598,Southeast,508.48329048843186
48015,TX,Austin,0.134,4000,0.532,0.047,0.422,3.04,2081000,2019,30167.0,0.6684125037292405,0.08088308416481586,0.009182218981005734,0.006662909802101634,0.00026519043988464217,0.10286074187025558,0.13173335101269598,Southeast,520.25
48017,TX,Bailey,0.163,1140,0.95,0.05,0.0,2.42,474870,2010,6904.0,0.48493626882966395,0.009414831981460023,0.012456546929316338,0.001593279258400927,0.0,0.2959154113557358,0.19568366164542295,Panhandle,416.55263157894734
48017,TX,Bailey,0.158,1120,0.941,0.059,0.0,2.62,478390,2011,6904.0,0.48493626882966395,0.009414831981460023,0.012456546929316338,0.001593279258400927,0.0,0.2959154113557358,0.19568366164542295,Panhandle,427.13392857142856
48017,TX,Bailey,0.138,980,1.0,0.0,0.0,2.7517919034126193,472000,2012,6904.0,0.48493626882966395,0.009414831981460023,0.012456546929316338,0.001593279258400927,0.0,0.2959154113557358,0.19568366164542295,Panhandle,481.6326530612245
48017,TX,Bailey,0.128,910,1.0,0.0,0.0,2.8,451000,2013,6904.0,0.48493626882966395,0.009414831981460023,0.012456546929316338,0.001593279258400927,0.0,0.2959154113557358,0.19568366164542295,Panhandle,495.6043956043956
48017,TX,Bailey,0.126,890,1.0,0.0,0.0,2.75,432000,2014,6904.0,0.48493626882966395,0.009414831981460023,0.012456546929316338,0.001593279258400927,0.0,0.2959154113557358,0.19568366164542295,Panhandle,485.39325842696627
